Sample,Temp,V,I,Power,Leak
0,23.100000,0.000700,0.000000,0.000000,0.000000
1,23.700000,0.807700,0.400100,0.323161,0.384197
2,23.800000,0.833400,0.412600,0.343861,0.408935
3,23.800000,0.837700,0.415100,0.347729,0.413210
4,23.800000,0.837700,0.415100,0.347729,0.413210
5,23.800000,0.837700,0.415400,0.347981,0.413210
6,23.800000,0.837700,0.415400,0.347981,0.413210
7,23.800000,0.837700,0.415600,0.348148,0.413210
8,23.800000,0.837700,0.415700,0.348232,0.413210
9,23.800000,0.837700,0.415700,0.348232,0.413210
10,23.800000,0.837700,0.415900,0.348399,0.413210
