Sample,Temp,V,I,Power,Leak
0,38.380000,0.000700,0.000000,0.000000,0.000000
1,42.010000,1.758800,0.930100,1.635860,1.546632
2,43.530000,2.133000,1.119800,2.388533,2.275042
3,44.400000,2.310900,1.204600,2.783710,2.670787
4,45.470000,2.419200,1.250500,3.025210,2.926792
5,45.660000,2.558800,1.303500,3.335396,3.274791
6,46.240000,2.584500,1.280800,3.310228,3.340696
7,46.660000,2.664400,1.317300,3.509814,3.550044
8,47.060000,2.723800,1.339900,3.649620,3.709642
9,47.450000,2.781400,1.355400,3.769910,3.868195
10,47.720000,2.838700,1.390400,3.946928,4.029203
11,48.190000,2.878700,1.408900,4.055800,4.144519
12,48.800000,2.950400,1.443900,4.260083,4.353067
13,49.000000,3.046000,1.490100,4.538845,4.639236
14,49.220000,3.078000,1.502300,4.624079,4.737045
15,49.330000,3.113300,1.502300,4.677111,4.846986
16,49.580000,3.131300,1.533900,4.803101,4.902899
17,50.900000,3.172300,1.557300,4.940223,5.032353
18,52.400000,3.398200,1.721300,5.849322,5.773983
