Sample,Temp,V,I,Power,Leak
0,32.29,0.0007,0,0,0
1,33.9,1.3032,0.6748,0.879399,0.99916
2,34.29,1.4169,0.7313,1.036179,1.181282
3,34.3,1.4462,0.7448,1.07713,1.230179
4,34.4,1.4469,0.7444,1.077072,1.231459
5,34.4,1.4545,0.7483,1.088402,1.244333
6,34.48,1.4545,0.7481,1.088111,1.244333
7,34.5,1.4605,0.7513,1.097274,1.254729
8,34.5,1.4619,0.7519,1.099203,1.257342
9,34.53,1.4619,0.7519,1.099203,1.257342
10,34.56,1.4642,0.7531,1.102689,1.261271
11,34.6,1.4665,0.7544,1.106328,1.265212
12,34.6,1.4695,0.7559,1.110795,1.270487
13,34.6,1.4695,0.7559,1.110795,1.270487
14,34.6,1.4695,0.7561,1.111089,1.270487
15,34.6,1.4695,0.7561,1.111089,1.270487
16,34.6,1.4695,0.7561,1.111089,1.270487
17,34.6,1.4695,0.7561,1.111089,1.270487
18,34.65,1.4695,0.7563,1.111383,1.270487
19,34.7,1.4735,0.7583,1.117355,1.27711
20,34.7,1.4772,0.7603,1.123115,1.283769
21,34.7,1.4772,0.7601,1.12282,1.283769
22,34.7,1.4772,0.7601,1.12282,1.283769
23,34.72,1.4772,0.7601,1.12282,1.283769
24,34.8,1.4788,0.7609,1.125219,1.286442
25,34.8,1.4845,0.7641,1.134306,1.297189
26,34.8,1.4848,0.7641,1.134536,1.297189
27,34.89,1.4848,0.7641,1.134536,1.297189
28,34.9,1.4918,0.7676,1.145106,1.309388
29,34.9,1.4928,0.7679,1.146321,1.310751
30,34.9,1.4928,0.7678,1.146172,1.310751
