Sample,Temp,V,I,Power,Leak
0,41.290000,0.000700,0.000000,0.000000,0.000000
1,44.760000,2.081000,0.977100,2.033345,2.547621
2,47.090000,2.492500,1.199400,2.989505,3.654795
3,48.400000,2.813700,1.389600,3.909918,4.656947
4,49.180000,3.012000,1.491100,4.491193,5.336660
5,49.740000,3.136600,1.539300,4.828168,5.787613
6,50.100000,3.228900,1.583400,5.112640,6.134693
7,50.680000,3.290200,1.595900,5.250830,6.368730
8,50.900000,3.390900,1.679200,5.693999,6.764714
9,51.130000,3.430200,1.651500,5.664975,6.921275
10,51.160000,3.471500,1.667800,5.789768,7.088828
11,51.700000,3.476800,1.637900,5.694651,7.110980
12,52.890000,3.575500,1.775400,6.347943,7.521759
13,54.310000,3.804100,1.898500,7.222084,8.512707
14,56.720000,4.095600,2.039000,8.350928,9.867436
15,61.200000,4.642400,2.329900,10.816328,12.678150
16,100.0000,5.860400,2.917300,17.096545,20.202372
