Sample,Temp,V,I,Power,Leak
0,21.090000,0.000700,0.000000,0.000000,0.000000
1,21.510000,0.727800,0.360400,0.262299,0.311723
2,21.600000,0.744100,0.368800,0.274424,0.325641
3,21.600000,0.747400,0.370600,0.276986,0.328703
4,21.600000,0.747400,0.370800,0.277136,0.328703
5,21.600000,0.747400,0.370900,0.277211,0.328703
6,21.600000,0.747400,0.370900,0.277211,0.328703
7,21.600000,0.747400,0.370900,0.277211,0.328703
8,21.600000,0.747400,0.371100,0.277360,0.328703
9,21.600000,0.747400,0.371300,0.277510,0.328703
